,promoter_AGI,gene_type
0,AT4G34270,housekeeping
1,AT3G32260,housekeeping
2,AT1G59830,housekeeping
3,AT4G33380,housekeeping
4,AT2G28390,housekeeping
5,AT5G55840,housekeeping
6,AT1G13320,housekeeping
7,AT1G48900,housekeeping
8,AT2G35320,housekeeping
9,AT1G58050,housekeeping
10,AT1G54080,housekeeping
11,AT4G32560,housekeeping
12,AT2G32170,housekeeping
13,AT3G60480,housekeeping
14,AT1G25420,housekeeping
15,AT5G46630,housekeeping
16,AT4G17050,housekeeping
17,AT1G11650,housekeeping
18,AT5G06600,housekeeping
19,AT3G51610,housekeeping
20,AT1G71820,housekeeping
21,AT2G22040,housekeeping
22,AT5G13470,housekeeping
23,AT4G37480,housekeeping
24,AT3G56460,housekeeping
25,AT3G16090,housekeeping
26,AT4G26410,housekeeping
27,AT4G14160,housekeeping
28,AT1G10430,housekeeping
29,AT3G24820,housekeeping
30,AT3G57890,housekeeping
31,AT5G12240,housekeeping
32,AT4G27120,housekeeping
33,AT4G33650,housekeeping
34,AT5G24710,housekeeping
35,AT4G21090,housekeeping
36,AT1G49260,housekeeping
37,AT5G64813,housekeeping
38,AT3G44240,housekeeping
39,AT2G20390,housekeeping
40,AT1G31730,housekeeping
41,AT3G60310,housekeeping
42,AT2G27600,housekeeping
43,AT2G39840,housekeeping
44,AT2G46180,housekeeping
45,AT1G01910,housekeeping
46,AT2G28060,housekeeping
47,AT2G16860,housekeeping
48,AT4G27630,housekeeping
49,AT2G17390,housekeeping
50,AT5G46210,housekeeping
51,AT1G48440,housekeeping
52,AT4G30900,housekeeping
53,AT2G38950,housekeeping
54,AT2G36240,housekeeping
55,AT3G10330,housekeeping
56,AT1G78920,housekeeping
57,AT3G03070,housekeeping
58,AT1G61670,housekeeping
59,AT2G19790,housekeeping
60,AT2G05170,housekeeping
61,AT1G74700,housekeeping
62,AT2G41960,housekeeping
63,AT2G07190,housekeeping
64,AT4G24550,housekeeping
65,AT3G19870,housekeeping
66,AT2G33220,housekeeping
67,AT3G47836,housekeeping
68,AT1G34550,housekeeping
69,AT5G46750,housekeeping
70,AT4G13730,housekeeping
71,AT2G20810,housekeeping
72,AT3G55480,housekeeping
73,AT4G26640,housekeeping
74,AT5G10780,housekeeping
75,AT4G18230,housekeeping
76,AT5G14710,housekeeping
77,AT3G01150,housekeeping
78,AT3G18480,housekeeping
79,AT1G57760,housekeeping
80,AT2G20790,housekeeping
81,AT3G52760,housekeeping
82,AT3G11240,housekeeping
83,AT3G01340,housekeeping
84,AT5G08290,housekeeping
85,AT2G48160,housekeeping
86,AT2G37160,housekeeping
87,AT5G07950,housekeeping
88,AT1G79940,housekeeping
89,AT1G52730,housekeeping
90,AT3G50430,housekeeping
91,AT5G12370,housekeeping
92,AT2G30100,housekeeping
93,AT5G46020,housekeeping
94,AT1G06530,housekeeping
95,AT3G10380,housekeeping
96,AT4G27960,housekeeping
97,AT3G12260,housekeeping
98,AT2G20130,housekeeping
99,AT1G32370,housekeeping
100,AT3G01980,highVar
101,AT5G09570,highVar
102,AT3G25900,highVar
103,AT1G29230,highVar
104,AT3G21510,highVar
105,AT1G24330,highVar
106,AT3G23170,highVar
107,AT3G16350,highVar
108,AT5G22860,highVar
109,AT4G04500,highVar
110,AT1G27440,highVar
111,AT2G44790,highVar
112,AT4G18425,highVar
113,AT2G40620,highVar
114,AT5G24090,highVar
115,AT1G75030,highVar
116,AT1G03457,highVar
117,AT5G03690,highVar
118,AT5G16540,highVar
119,AT1G47270,highVar
120,AT4G05330,highVar
121,AT1G66540,highVar
122,AT2G28650,highVar
123,AT3G19970,highVar
124,AT1G11170,highVar
125,AT2G33590,highVar
126,AT5G50170,highVar
127,AT3G17130,highVar
128,AT2G38080,highVar
129,AT1G12450,highVar
130,AT1G26610,highVar
131,AT1G78460,highVar
132,AT3G59010,highVar
133,AT2G38465,highVar
134,AT5G56750,highVar
135,AT1G62710,highVar
136,AT4G31020,highVar
137,AT1G70790,highVar
138,AT3G51300,highVar
139,AT4G22490,highVar
140,AT5G45380,highVar
141,AT5G01610,highVar
142,AT4G18640,highVar
143,AT5G03170,highVar
144,AT4G01575,highVar
145,AT3G57390,highVar
146,AT3G01270,highVar
147,AT1G09240,highVar
148,AT3G54590,highVar
149,AT1G03070,highVar
150,AT1G08340,highVar
151,AT3G48510,highVar
152,AT3G11850,highVar
153,AT1G71770,highVar
154,AT5G67210,highVar
155,AT5G17400,highVar
156,AT1G68290,highVar
157,AT1G01780,highVar
158,AT3G42640,highVar
159,AT1G16290,highVar
160,AT3G09220,highVar
161,AT3G25160,highVar
162,AT4G22960,highVar
163,AT5G15600,highVar
164,AT3G09760,highVar
165,AT3G02555,highVar
166,AT2G45310,highVar
167,AT5G01670,highVar
168,AT5G54780,highVar
169,AT5G51210,highVar
170,AT3G61160,highVar
171,AT5G60490,highVar
172,AT1G15330,highVar
173,AT2G46210,highVar
174,AT2G21540,highVar
175,AT4G07960,highVar
176,AT1G19540,highVar
177,AT1G64590,highVar
178,AT5G17420,highVar
179,AT1G03920,highVar
180,AT4G25150,highVar
181,AT1G02000,highVar
182,AT1G13970,highVar
183,AT5G20410,highVar
184,AT3G19090,highVar
185,AT4G21760,highVar
186,AT5G15630,highVar
187,AT5G54690,highVar
188,AT5G56160,highVar
189,AT3G17630,highVar
190,AT4G17690,highVar
191,AT1G04700,highVar
192,AT5G23270,highVar
193,AT5G45840,highVar
194,AT2G31830,highVar
195,AT3G44070,highVar
196,AT5G61360,highVar
197,AT5G16100,highVar
198,AT3G60570,highVar
199,AT3G18810,highVar
200,AT5G62650,randCont
201,AT3G09210,randCont
202,AT5G20700,randCont
203,AT3G58460,randCont
204,AT1G59910,randCont
205,AT3G03790,randCont
206,AT2G39210,randCont
207,AT2G18840,randCont
208,AT1G29040,randCont
209,AT1G05810,randCont
210,AT1G75440,randCont
211,AT5G18280,randCont
212,AT1G53520,randCont
213,AT3G09880,randCont
214,AT1G08600,randCont
215,AT1G51450,randCont
216,AT3G45750,randCont
217,AT1G10490,randCont
218,AT5G46080,randCont
219,AT5G51770,randCont
220,AT3G43960,randCont
221,AT3G57610,randCont
222,AT3G47550,randCont
223,AT1G10070,randCont
224,AT5G56270,randCont
225,AT1G28960,randCont
226,AT4G19960,randCont
227,AT5G16450,randCont
228,AT2G16700,randCont
229,AT1G64400,randCont
230,AT1G34020,randCont
231,AT3G61460,randCont
232,AT1G28580,randCont
233,AT4G36020,randCont
234,AT2G47710,randCont
235,AT2G30360,randCont
236,AT2G42320,randCont
237,AT3G10960,randCont
238,AT5G49630,randCont
239,AT3G10020,randCont
240,AT3G17880,randCont
241,AT1G67970,randCont
242,AT5G58710,randCont
243,AT5G21100,randCont
244,AT2G20840,randCont
245,AT1G08940,randCont
246,AT1G80630,randCont
247,AT1G10760,randCont
248,AT3G21865,randCont
249,AT1G62730,randCont
250,AT5G15770,randCont
251,AT5G17890,randCont
252,AT4G39220,randCont
253,AT2G47390,randCont
254,AT5G51300,randCont
255,AT2G02100,randCont
256,AT1G49850,randCont
257,AT5G45940,randCont
258,AT5G10430,randCont
259,AT3G52730,randCont
260,AT5G67590,randCont
261,AT5G66250,randCont
262,AT4G30340,randCont
263,AT2G31370,randCont
264,AT4G38660,randCont
265,AT1G65490,randCont
266,AT1G10320,randCont
267,AT1G06110,randCont
268,AT4G34670,randCont
269,AT2G36320,randCont
270,AT1G75850,randCont
271,AT2G30170,randCont
272,AT3G20410,randCont
273,AT2G02230,randCont
274,AT5G58230,randCont
275,AT3G20230,randCont
276,AT5G64050,randCont
277,AT5G16950,randCont
278,AT3G46600,randCont
279,AT1G08610,randCont
280,AT5G13450,randCont
281,AT5G41685,randCont
282,AT3G59280,randCont
283,AT5G47400,randCont
284,AT3G02600,randCont
285,AT2G40290,randCont
286,AT3G52380,randCont
287,AT5G11670,randCont
288,AT1G08780,randCont
289,AT2G41080,randCont
290,AT5G57785,randCont
291,AT5G42070,randCont
292,AT1G68410,randCont
293,AT3G13320,randCont
294,AT1G55260,randCont
295,AT5G13410,randCont
296,AT5G56090,randCont
297,AT5G05170,randCont
298,AT3G18110,randCont
299,AT3G13445,randCont
