well_row,well_col,name,condition
A,1,71 + 72,nitrate_free
B,1,25+72,nitrate_free
C,1,35+72,nitrate_free
D,1,36+72,nitrate_free
E,1,92+72,nitrate_free
F,1,0,
G,1,0,
H,1,0,
A,2,71 + 72,nitrate_free
B,2,25+72,nitrate_free
C,2,35+72,nitrate_free
D,2,36+72,nitrate_free
E,2,92+72,nitrate_free
F,2,0,
G,2,0,
H,2,0,
A,3,71 + 72,nitrate_free
B,3,25+72,nitrate_free
C,3,35+72,nitrate_free
D,3,36+72,nitrate_free
E,3,92+72,nitrate_free
F,3,0,
G,3,0,
H,3,0,
A,4,71 + 72,100mM nitrate_2hrs_morning
B,4,25+72,100mM nitrate_2hrs_morning
C,4,35+72,100mM nitrate_2hrs_morning
D,4,36+72,100mM nitrate_2hrs_morning
E,4,92+72,100mM nitrate_2hrs_morning
F,4,0,
G,4,0,
H,4,0,
A,5,71 + 72,100mM nitrate_2hrs_morning
B,5,25+72,100mM nitrate_2hrs_morning
C,5,35+72,100mM nitrate_2hrs_morning
D,5,36+72,100mM nitrate_2hrs_morning
E,5,92+72,100mM nitrate_2hrs_morning
F,5,0,
G,5,0,
H,5,0,
A,6,71 + 72,100mM nitrate_2hrs_morning
B,6,25+72,100mM nitrate_2hrs_morning
C,6,35+72,100mM nitrate_2hrs_morning
D,6,36+72,100mM nitrate_2hrs_morning
E,6,92+72,100mM nitrate_2hrs_morning
F,6,0,
G,6,0,
H,6,0,
A,7,71 + 72,100mM nitrate_overnight
B,7,25+72,100mM nitrate_overnight
C,7,35+72,100mM nitrate_overnight
D,7,36+72,100mM nitrate_overnight
E,7,92+72,100mM nitrate_overnight
F,7,0,
G,7,0,
H,7,0,
A,8,71 + 72,100mM nitrate_overnight
B,8,25+72,100mM nitrate_overnight
C,8,35+72,100mM nitrate_overnight
D,8,36+72,100mM nitrate_overnight
E,8,92+72,100mM nitrate_overnight
F,8,0,
G,8,0,
H,8,0,
A,9,71 + 72,100mM nitrate_overnight
B,9,25+72,100mM nitrate_overnight
C,9,35+72,100mM nitrate_overnight
D,9,36+72,100mM nitrate_overnight
E,9,92+72,100mM nitrate_overnight
F,9,0,
G,9,0,
H,9,0,
A,10,0,
B,10,0,
C,10,0,
D,10,0,
E,10,0,
F,10,0,
G,10,0,
H,10,0,
A,11,0,
B,11,0,
C,11,0,
D,11,0,
E,11,0,
F,11,0,
G,11,0,
H,11,0,
A,12,0,
B,12,0,
C,12,0,
D,12,0,
E,12,0,
F,12,0,
G,12,0,
H,12,0,
