name,condition,mean_luminescence,standard_error,date
25+72,N-free K3G1,1.1517241563620815,0.3157130012505063,26.11.19
25+72,"W5 then 10 mM KNO3, 2 hours morning",2.808982146538883,1.1289006337146306,26.11.19
25+72,"W5 then 10 mM Kcl, 2 hours morning",2.328943471910059,0.41636729685320234,26.11.19
25+72,"W5, 10 mM KNO3_overnight",3.0556617764009926,0.4050424275037149,26.11.19
25+72,replete K3G1,1.0915131266595983,0.27898666083644336,26.11.19
35+72,N-free K3G1,73.43198591824967,5.359027841473217,26.11.19
35+72,"W5 then 10 mM KNO3, 2 hours morning",75.08130226021309,9.374356637706764,26.11.19
35+72,"W5 then 10 mM Kcl, 2 hours morning",104.29118541445091,26.827103637925852,26.11.19
35+72,"W5, 10 mM KNO3_overnight",64.92135539144184,31.88598260050755,26.11.19
35+72,replete K3G1,57.306098079512445,8.298701292238846,26.11.19
36+72,N-free K3G1,1.015915179466285,0.24865782766413452,26.11.19
36+72,"W5 then 10 mM KNO3, 2 hours morning",1.528902992734506,0.36549548256188363,26.11.19
36+72,"W5 then 10 mM Kcl, 2 hours morning",1.7572847913187404,0.7574633047131125,26.11.19
36+72,"W5, 10 mM KNO3_overnight",2.308026093996316,0.8138820992622077,26.11.19
71 + 72,"W5 then 10 mM KNO3, 2 hours morning",165.30917536150284,34.58996685922608,26.11.19
71 + 72,"W5 then 10 mM Kcl, 2 hours morning",179.03229287563258,35.2435354360758,26.11.19
71 + 72,"W5, 10 mM KNO3_overnight",118.30978346556809,10.958352096048811,26.11.19
71+72,N-free K3G1,107.16854546857091,33.445537288535796,26.11.19
71+72,replete K3G1,127.12024959529033,15.427830118955928,26.11.19
72,"W5 then 10 mM KNO3, 2 hours morning",0.5556533456365226,0.5037840783654531,26.11.19
92+29+72,"W5 then 10 mM Kcl, 2 hours morning",9.136787291751165,0.20385137520869098,26.11.19
92+72,N-free K3G1,1.9883463011272713,0.6842397107058629,26.11.19
92+72,"W5 then 10 mM KNO3, 2 hours morning",1.82283288180787,0.5357576882481768,26.11.19
92+72,"W5 then 10 mM Kcl, 2 hours morning",1.8141900351443543,0.4533072174941355,26.11.19
92+72,"W5, 10 mM KNO3_overnight",3.248752518010747,1.3840142939721183,26.11.19
92+72,replete K3G1,1.630685219237898,0.6637683522029705,26.11.19
