well_row,well_col,name
A,1,1 + 34
B,1,5 + 34
C,1,8 + 34
D,1,9 + 34
E,1,10 + 34
F,1,14 + 34
G,1,25 + 34
H,1,0
A,2,1 + 34
B,2,5 + 34
C,2,8 + 34
D,2,9 + 34
E,2,10 + 34
F,2,14 + 34
G,2,25 + 34
H,2,0
A,3,1 + 34
B,3,5 + 34
C,3,8 + 34
D,3,9 + 34
E,3,10 + 34
F,3,14 + 34
G,3,25 + 34
H,3,0
A,4,35 + 34
B,4,36 + 34
C,4,BLANK H2O
D,4,0
E,4,0
F,4,0
G,4,0
H,4,0
A,5,35 + 34
B,5,36 + 34
C,5,BLANK H2O
D,5,0
E,5,0
F,5,0
G,5,0
H,5,0
A,6,35 + 34
B,6,36 + 34
C,6,BLANK H2O
D,6,0
E,6,0
F,6,0
G,6,0
H,6,0
A,7,0
B,7,0
C,7,0
D,7,0
E,7,0
F,7,0
G,7,0
H,7,0
A,8,0
B,8,0
C,8,0
D,8,0
E,8,0
F,8,0
G,8,0
H,8,0
A,9,0
B,9,0
C,9,0
D,9,0
E,9,0
F,9,0
G,9,0
H,9,0
A,10,0
B,10,0
C,10,0
D,10,0
E,10,0
F,10,0
G,10,0
H,10,0
A,11,0
B,11,0
C,11,0
D,11,0
E,11,0
F,11,0
G,11,0
H,11,0
A,12,0
B,12,0
C,12,0
D,12,0
E,12,0
F,12,0
G,12,0
H,12,0
